,,record_id,record_id,record_id,record_id,record_id,record_id,record_id,record_id,month,month,month,month,month,month,month,month,day,day,day,day,day,day,day,day,year,year,year,year,year,year,year,year,hindfoot_length,hindfoot_length,hindfoot_length,hindfoot_length,hindfoot_length,hindfoot_length,hindfoot_length,hindfoot_length,weight,weight,weight,weight,weight,weight,weight,weight
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
plot_id,sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,M,1053.0,18857.651471984806,10272.321115682566,38.0,10556.0,20635.0,27302.0,35448.0,1053.0,6.56980056980057,3.3522762906734065,1.0,4.0,7.0,9.0,12.0,1053.0,16.183285849952515,8.251605779372518,1.0,9.0,16.0,23.0,31.0,1053.0,1991.3314339981007,7.526842304112267,1977.0,1985.0,1993.0,1997.0,2002.0,1006.0,32.22763419483101,8.717391079515613,11.0,23.0,35.0,37.0,53.0,1011.0,47.55885262116716,34.08201012451825,4.0,27.0,45.0,51.0,216.0
18,F,755.0,17940.875496688743,11236.755683566797,42.0,7471.5,18465.0,28295.5,35435.0,755.0,6.6980132450331125,3.3888463917974136,1.0,4.0,7.0,10.0,12.0,755.0,15.960264900662251,8.272289874670934,1.0,9.0,15.0,23.0,31.0,755.0,1990.5364238410596,8.131360872230674,1977.0,1983.0,1991.0,1998.0,2002.0,704.0,26.69034090909091,9.27473006651954,12.0,20.0,25.0,34.0,52.0,740.0,36.96351351351351,35.184416814208745,5.0,17.0,28.5,40.0,212.0
18,M,626.0,15106.718849840256,10322.09517107976,47.0,6092.0,13215.0,24061.75,35429.0,626.0,6.610223642172524,3.39620837256848,1.0,4.0,7.0,10.0,12.0,626.0,16.797124600638977,8.082300150257332,1.0,10.0,16.0,23.0,31.0,626.0,1988.5511182108626,7.5834413525525095,1977.0,1982.0,1987.0,1996.0,2002.0,586.0,27.703071672354948,10.302131094031706,11.0,20.0,26.0,36.0,52.0,607.0,43.54695222405272,41.86427882283179,7.0,18.0,33.0,48.0,256.0
19,F,522.0,21848.216475095785,9295.556467855944,84.0,15540.75,22712.5,29717.75,35423.0,522.0,6.7011494252873565,3.540654837755925,1.0,4.0,7.0,10.0,12.0,522.0,15.226053639846743,7.853667147218893,1.0,9.0,15.0,22.0,31.0,522.0,1993.4176245210729,6.72734099054615,1977.0,1989.0,1995.0,1999.0,2002.0,504.0,21.25793650793651,4.840285767398044,7.0,17.0,21.0,25.0,50.0,514.0,21.97859922178988,14.008822379727151,6.0,12.0,20.0,29.0,139.0
19,M,581.0,19470.779690189327,10222.818485589529,46.0,9812.0,20784.0,27868.0,35425.0,581.0,6.533562822719449,3.4322495701791205,1.0,4.0,7.0,10.0,12.0,581.0,16.647160068846816,8.053556487248306,1.0,10.0,16.0,23.0,31.0,581.0,1991.7401032702237,7.4514237928761,1977.0,1985.0,1993.0,1998.0,2002.0,558.0,21.07168458781362,5.09569688855698,2.0,17.0,21.0,25.0,38.0,567.0,20.306878306878307,12.553954452414255,4.0,10.0,19.0,25.0,100.0
20,F,650.0,17510.76923076923,10951.971494667388,48.0,7499.0,15995.0,27401.25,35459.0,650.0,6.743076923076923,3.202486958809739,1.0,4.0,7.0,9.0,12.0,650.0,16.026153846153846,8.304913000476171,1.0,9.0,15.0,23.0,31.0,650.0,1990.253846153846,7.955104706123362,1977.0,1983.0,1989.0,1997.75,2002.0,607.0,27.069192751235583,9.562465634826678,11.0,20.0,25.0,34.0,54.0,631.0,52.62440570522979,55.25766461455086,5.0,17.0,30.0,48.0,220.0
20,M,613.0,16076.192495921696,10640.375987669011,40.0,6805.0,14037.0,25532.0,35456.0,613.0,6.489396411092986,3.1698078014021953,1.0,4.0,6.0,9.0,12.0,613.0,16.375203915171287,8.293010591600789,1.0,9.0,16.0,23.0,31.0,613.0,1989.2430668841762,7.7513211012153445,1977.0,1982.0,1988.0,1997.0,2002.0,568.0,27.908450704225352,10.378144808150525,11.0,20.0,26.0,36.0,53.0,588.0,44.197278911564624,43.36150318556212,5.0,17.0,34.0,47.0,223.0
21,F,611.0,22452.63666121113,9693.985010772403,51.0,15366.0,24069.0,30959.5,35467.0,611.0,6.86088379705401,3.384432810254983,1.0,4.0,7.0,10.0,12.0,611.0,16.307692307692307,8.242448490881964,1.0,10.0,16.0,23.0,31.0,611.0,1993.8788870703763,7.001994755970329,1977.0,1989.0,1996.0,2000.0,2002.0,592.0,22.366554054054053,5.181879427368087,7.0,17.0,24.0,26.0,38.0,596.0,25.9748322147651,22.619862710622876,4.0,11.0,24.0,31.0,188.0
21,M,451.0,20120.39911308204,10033.899943930037,43.0,12143.5,22244.0,28385.5,35463.0,451.0,6.671840354767184,3.527489624366361,1.0,3.0,7.0,10.0,12.0,451.0,16.2039911308204,8.32869641873665,1.0,9.0,16.0,23.0,31.0,451.0,1992.19955654102,7.325456362167347,1977.0,1986.5,1995.0,1998.0,2002.0,433.0,21.736720554272516,6.010019824793812,11.0,16.0,21.0,26.0,49.0,431.0,22.77262180974478,18.984554121789422,4.0,9.0,19.0,32.0,190.0
22,F,671.0,18499.69597615499,10520.496967007062,122.0,8915.5,19033.0,28190.5,35477.0,671.0,6.651266766020864,3.340925875613176,1.0,4.0,7.0,10.0,12.0,671.0,15.52160953800298,8.129679975866106,1.0,9.0,15.0,22.0,31.0,671.0,1990.973174366617,7.701668469999849,1977.0,1984.0,1991.0,1998.0,2002.0,637.0,34.108320251177396,10.563638082237485,14.0,26.0,36.0,38.0,55.0,646.0,53.64705882352941,38.58853766856271,5.0,29.0,39.0,54.0,161.0
22,M,673.0,18015.365527488855,10819.955805412137,45.0,7703.0,16660.0,28213.0,35476.0,673.0,6.381872213967311,3.387841276300937,1.0,3.0,6.0,9.0,12.0,673.0,16.682020802377416,8.117620499687549,1.0,10.0,16.0,23.0,31.0,673.0,1990.6508172362555,7.868992611385282,1977.0,1983.0,1989.0,1998.0,2002.0,631.0,33.359746434231376,10.145241871636888,13.0,26.0,36.0,37.0,54.0,648.0,54.57253086419753,38.84106622010994,6.0,31.0,44.0,53.0,212.0
23,F,165.0,15863.19393939394,8854.378715515164,41.0,9536.0,14692.0,21169.0,35489.0,165.0,6.86060606060606,3.3530055132543803,1.0,4.0,7.0,10.0,12.0,165.0,16.036363636363635,8.776972996934283,1.0,9.0,15.0,24.0,30.0,165.0,1989.0242424242424,6.4542966546887,1977.0,1984.0,1988.0,1993.0,2002.0,154.0,20.051948051948052,6.455268110339708,14.0,16.0,18.0,20.0,52.0,163.0,20.56441717791411,18.933945220229887,8.0,12.0,16.0,23.0,199.0
23,M,207.0,17091.338164251207,8852.413082879959,55.0,11274.0,15693.0,24740.5,35282.0,207.0,6.391304347826087,3.5439709146402367,1.0,3.0,6.0,10.0,12.0,207.0,16.07729468599034,7.955203244742762,1.0,10.0,16.0,23.0,31.0,207.0,1989.961352657005,6.509026898941643,1977.0,1986.0,1989.0,1996.0,2002.0,200.0,19.85,5.980495937486422,14.0,16.0,18.0,20.25,50.0,205.0,18.941463414634146,17.979740445161315,4.0,10.0,12.0,22.0,131.0
24,F,486.0,13702.224279835391,8692.118528441812,1963.0,7024.75,11560.5,19442.0,35283.0,486.0,6.596707818930041,3.327782064542898,1.0,4.0,7.0,10.0,12.0,486.0,16.393004115226336,8.367578104076356,1.0,9.0,16.0,24.0,31.0,486.0,1987.485596707819,6.3404118987071705,1979.0,1982.0,1986.0,1991.0,2002.0,453.0,26.99337748344371,8.561461826791952,12.0,20.0,22.0,35.0,52.0,479.0,47.914405010438415,49.11257435143856,6.0,21.0,33.0,44.0,251.0
24,M,485.0,15208.136082474226,9395.61025215334,2063.0,6992.0,12918.0,22841.0,35479.0,485.0,6.360824742268041,3.452707546410408,1.0,3.0,6.0,10.0,12.0,485.0,16.971134020618557,8.431738038860574,1.0,10.0,17.0,24.0,31.0,485.0,1988.641237113402,6.825991778170002,1979.0,1982.0,1987.0,1995.0,2002.0,446.0,25.786995515695068,8.350303038838119,12.0,19.0,21.0,35.0,51.0,479.0,39.32150313152401,42.00394702806757,4.0,17.0,24.0,45.0,230.0
